feature,importance_con,importance_sin,diff_importancia
productos_MEAN_ventas_cust_request_tn,10.0,0.0,10.0
productos_MAX_ventas_cust_request_tn,21.0,12.0,9.0
LAG_cat2__periodo,8.0,0.0,8.0
stock_final,6.0,0.0,6.0
venta_id,23.0,18.0,5.0
ROLLING_MEAN_periodo__sku_size,20.0,16.0,4.0
DIFF_cust_request_qty,11.0,10.0,1.0
clientes_NUM_CONSECUTIVE_GREATER_MEAN_ventas_cust_request_tn,8.0,8.0,0.0
ROLLING_MEAN_periodo__stock_final,20.0,21.0,-1.0
DIFF_cust_request_tn,11.0,13.0,-2.0
DIFF_sku_size,7.0,9.0,-2.0
clientes_MIN_ventas_stock_final,7.0,9.0,-2.0
productos_NUM_CONSECUTIVE_GREATER_MEAN_ventas_stock_final,7.0,10.0,-3.0
clientes_MEAN_ventas_sku_size,7.0,10.0,-3.0
LAG_stock_final__periodo,12.0,16.0,-4.0
productos_MEAN_ventas_stock_final,7.0,11.0,-4.0
MONTH_periodo,14.0,19.0,-5.0
cust_request_qty,15.0,23.0,-8.0
DIFF_stock_final,0.0,9.0,-9.0
productos_MAX_ventas_tn,0.0,10.0,-10.0
ROLLING_MEAN_periodo__cust_request_tn,0.0,10.0,-10.0
DIFF_tn,153.0,173.0,-20.0
cust_request_tn,302.0,329.0,-27.0
